Place type,Room type,Location,Rating,Total Reviews,Price/night (SGD),Total Price (SGD),Link
Entire home,Flat,Khet Ratchathewi,5.0,19,$74,$486,https://www.airbnb.com.sg/rooms/1065001058637987704?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723181435_P37iuUSlvBoiryUJ&previous_page_section_name=1000&federated_search_id=e67e311b-dd21-4cfe-9226-95a956063e96
Room,Room,Khet Ratchathewi,5.0,3,$38,$247,https://www.airbnb.com.sg/rooms/1185425012345638748?adults=3&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1942832920&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723181436_P3KBEAOtcyqeooYz&previous_page_section_name=1000&federated_search_id=e67e311b-dd21-4cfe-9226-95a956063e96
Entire home,Serviced apartment,Phayathai,4.83,908,$91,$564,https://www.airbnb.com.sg/rooms/33980217?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723181436_P37KpGyG4IROYLV2&previous_page_section_name=1000&federated_search_id=e67e311b-dd21-4cfe-9226-95a956063e96
Entire home,Flat,Bangkok,5.0,41,$69,$435,https://www.airbnb.com.sg/rooms/26984763?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723181436_P3yRb9ngmR0U2FHC&previous_page_section_name=1000&federated_search_id=e67e311b-dd21-4cfe-9226-95a956063e96
