Place type,Room type,Location,Rating,Total Reviews,Price/night (SGD),Total Price (SGD),Link,Latitude,Longitude,Bedrooms,Beds,Bathrooms,Superhost,Host Reviews,Host Rating,Cleanliness Rating,Accuracy Rating,Check-in Rating,Communication Rating,Location Rating,Value Rating,Amenities
Entire home,Flat,Khet Ratchathewi,5.0,19,$74,$486,https://www.airbnb.com.sg/rooms/1065001058637987704?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723181435_P37iuUSlvBoiryUJ&previous_page_section_name=1000&federated_search_id=e67e311b-dd21-4cfe-9226-95a956063e96,13.75101571378372,100.55505645669162,2,2,1,False,608,4.51,4.8,4.9,4.8,4.9,4.7,4.9,"['Hair dryer', 'Shampoo', 'Hot water', 'Washing machine', 'Essentials', 'Hangers', 'Bed linen', 'Room-darkening blinds', 'Clothes storage', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Carbon monoxide alarm', 'Wifi', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Kettle', 'Wine glasses', 'Dining table', 'Private entrance', 'Patio or balcony', 'Lift', 'Long-term stays allowed']"
Room,Room,Khet Ratchathewi,5.0,3,$38,$247,https://www.airbnb.com.sg/rooms/1185425012345638748?adults=3&category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1942832920&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723181436_P3KBEAOtcyqeooYz&previous_page_section_name=1000&federated_search_id=e67e311b-dd21-4cfe-9226-95a956063e96,13.7549,100.5313,0,2,1,True,1347,4.87,5.0,5.0,5.0,5.0,4.7,5.0,"['Hair dryer', 'Local Brand shampoo', 'Local Brand body soap', 'Bidet', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Room-darkening blinds', 'Clothes drying rack', 'TV', 'Air conditioning', 'Lock on bedroom door', 'Exterior security cameras on property', 'First aid kit', 'Wifi', 'Hitachi refrigerator', 'Microwave', 'Dishes and cutlery', 'Kettle', 'Toaster', 'Waste compactor', 'Kitchenette', 'Dining table', 'Paid car park off premises', 'Luggage drop-off allowed', 'Self check-in', 'Smart lock']"
Entire home,Serviced apartment,Phayathai,4.83,908,$91,$564,https://www.airbnb.com.sg/rooms/33980217?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723181436_P37KpGyG4IROYLV2&previous_page_section_name=1000&federated_search_id=e67e311b-dd21-4cfe-9226-95a956063e96,13.7736,100.5408,2,2,2,True,1911,4.85,4.8,4.9,4.9,4.9,4.7,4.8,"['Hair dryer', 'Shampoo', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Free washer – In building', 'Free dryer – In building', 'Essentials', 'Hangers', 'Bed linen', 'Room-darkening blinds', 'Iron', 'Clothes drying rack', 'Safe', 'Clothes storage: wardrobe', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Smoke alarm', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Freezer', 'Cooker', 'Kettle', 'Dining table', 'Patio or balcony', 'Free parking on premises', 'Shared pool', 'Lift', 'Private gym in building', 'Luggage drop-off allowed', 'Long-term stays allowed', 'Self check-in', 'Building staff']"
Entire home,Flat,Bangkok,5.0,41,$69,$435,https://www.airbnb.com.sg/rooms/26984763?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723181436_P3yRb9ngmR0U2FHC&previous_page_section_name=1000&federated_search_id=e67e311b-dd21-4cfe-9226-95a956063e96,13.77645,100.54519,1,2,1,True,1632,4.9,5.0,5.0,5.0,5.0,4.8,5.0,"['Hair dryer', 'Shampoo', 'Essentials', 'TV', 'Air conditioning', 'Exterior security cameras on property', 'Fire extinguisher', 'Wifi', 'Fridge', 'Microwave', 'Luggage drop-off allowed', 'Self check-in', 'Building staff']"
