Place type,Room type,Location,Latitude,Longitude,Price/night (SGD),Total Price (SGD),Bedrooms,Beds,Bathrooms,Superhost,Host Reviews,Host Rating,Total Reviews,Rating,Cleanliness Rating,Accuracy Rating,Check-in Rating,Communication Rating,Location Rating,Value Rating,Amenities,Link
Entire home,Flat,Khet D,13.76204860726723,100.54585732873868,$67,$502,2,3,1,False,63,4.75,23,4.87,4.8,4.9,4.8,5.0,4.7,4.9,"['Hair dryer', 'Cleaning products', 'Hot water', 'Essentials', 'Hangers', 'Extra pillows and blankets', 'Iron', 'TV with standard cable/satellite', 'Exercise equipment', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Fridge', 'Microwave', 'Cooking basics', 'Dishes and cutlery', 'Private entrance', 'Patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Pool', 'Paid parking on premises', 'Long-term stays allowed', 'Host greets you']",https://www.airbnb.com.sg/rooms/841564604813576170?adults=3&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-03&check_out=2024-10-10&source_impression_id=p3_1723541603_P38a1ZW_KyC72xIQ&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Flat,Bangkok,13.7368,100.55698,$106,$342,1,2,1,True,4054,4.83,236,4.85,4.9,4.9,4.9,5.0,4.9,4.8,"['Bath', 'Hair dryer', 'Shampoo', 'Hot water', 'Washing machine', 'Essentials', 'Hangers', 'Bed linen', 'Room-darkening blinds', 'Iron', 'TV with standard cable/satellite', 'Window guards', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Cooker', 'Patio or balcony', 'Garden', 'Pool', 'Lift', 'Gym', 'Paid parking off premises', 'Self check-in', 'Lockbox']",https://www.airbnb.com.sg/rooms/36577132?adults=3&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-06&check_out=2024-10-09&source_impression_id=p3_1723541603_P3u7R5nN7qLu9u3r&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Apartment,Khet Ratchathewi,13.74627,100.5423,$104,$751,1,2,1,False,387,4.84,94,4.85,4.8,4.8,4.8,4.9,4.8,4.8,"['Canal view', 'Cleaning products', 'Shampoo', 'Sunsilk conditioner', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Dryer', 'Essentials', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Room-darkening blinds', 'Clothes drying rack', 'Clothes storage: wardrobe and wardrobe', 'Ethernet connection', 'TV with standard cable/satellite', 'Games console', 'Exercise equipment', 'Pool table', 'AC – split-type ductless system', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Fridge', 'Microwave', 'Cooking basics', 'Dishes and cutlery', 'Freezer', 'Stainless steel electric cooker', 'Kettle', 'Toaster', 'Rice cooker', 'Dining table', 'Waterfront', 'Lake access', 'Private entrance', 'Patio or balcony', 'Shared back garden – Not fully fenced', 'Free parking on premises', 'Shared outdoor pool – available all year, open specific hours, infinity, pool toys, rooftop', 'Shared hot tub', 'Shared sauna', 'Lift', 'EV charger', 'Shared gym in building', 'Luggage drop-off allowed', 'Long-term stays allowed', 'Self check-in', 'Smart lock', 'Cleaning available during stay']",https://www.airbnb.com.sg/rooms/26312565?adults=3&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-03&check_out=2024-10-10&source_impression_id=p3_1723541603_P3OwJGR5aopmiKVV&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Apartment,TH,13.782886820965823,100.54185571067504,$131,"$1,379",2,2,2,True,89,4.92,19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"['Garden view', 'Bath', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linen', 'Room-darkening blinds', 'Iron', 'Clothes drying rack', 'Mosquito net', 'Clothes storage: wardrobe', '52-inch HDTV', 'Exercise equipment', 'Books and reading material', 'Window AC unit', 'Portable fans', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Toshiba refrigerator', 'Microwave', 'Cooking basics', 'Dishes and cutlery', 'Freezer', 'Targa stainless steel electric cooker', 'Kettle', 'Coffee maker: Nespresso', 'Toaster', 'Rice cooker', 'Dining table', 'Coffee', 'Bread maker', 'Private patio or balcony', 'Free carport on premises', 'Free on-street parking', 'Shared outdoor pool – available all year, open specific hours', 'Private hot tub', 'Lift', 'Shared gym in building', 'Long-term stays allowed', 'Host greets you']",https://www.airbnb.com.sg/rooms/646854390884758447?adults=3&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-02&check_out=2024-10-12&source_impression_id=p3_1723541603_P3K1HZH5Dihw9c-b&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Apartment,Watthana,13.7478,100.5551,$65,$414,1,2,1,True,258,4.85,258,4.85,4.8,4.9,4.9,5.0,4.6,4.9,"['Hair dryer', 'Shampoo', 'Body soap', 'Washing machine', 'Essentials', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Iron', 'TV', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Fridge', 'Microwave', 'Cooking basics', 'Dishes and cutlery', 'Cooker', 'Patio or balcony', 'Free parking on premises', 'Shared gym in building', 'Luggage drop-off allowed', 'Self check-in', 'Lockbox']",https://www.airbnb.com.sg/rooms/24981583?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3-czCbWEXiRjTS1&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Home,Bangkok,13.74824,100.49692,$80,$488,2,4,1,True,284,4.83,65,4.69,4.8,4.8,5.0,4.9,4.9,4.7,"['Hair dryer', 'Shampoo', 'Hot water', 'Washing machine', 'Essentials', 'Hangers', 'Bed linen', 'Iron', 'TV', 'High chair', 'Air conditioning', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Fridge', 'Microwave', 'Cooking basics', 'Dishes and cutlery', 'Cooker', 'Private entrance', 'Luggage drop-off allowed', 'Self check-in', 'Building staff']",https://www.airbnb.com.sg/rooms/25933923?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3LZ_Rf71xMzQp9Q&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Apartment,Khet Bang Rak,13.72566,100.5389,$184,"$1,219",2,3,2,True,6516,4.77,210,4.75,4.8,4.8,4.9,4.9,4.8,4.7,"['Hair dryer', 'Cleaning products', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Essentials', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Iron', 'Clothes storage: walk-in wardrobe', 'TV', 'Air conditioning', 'Smoke alarm', 'Dedicated workspace', 'Kitchen', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Private entrance', 'Patio or balcony', 'Garden', 'Pool', 'Lift', 'Gym', 'Single level home', 'Self check-in', 'Lockbox']",https://www.airbnb.com.sg/rooms/21636719?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P33OuM5VpIqcLD83&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Flat,Bangkok,13.73485,100.55881,$108,$674,1,2,1,True,4054,4.83,189,4.87,4.9,4.9,4.9,4.9,4.8,4.8,"['Bath', 'Hair dryer', 'Shampoo', 'Hot water', 'Washing machine', 'Essentials', 'Hangers', 'Bed linen', 'Room-darkening blinds', 'Iron', 'TV with standard cable/satellite', 'Window guards', 'Air conditioning', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Cooker', 'Coffee maker', 'Shared patio or balcony', 'Shared pool', 'Lift', 'Gym', 'Paid multistorey car park off premises', 'Paid parking on premises', 'Long-term stays allowed', 'Self check-in', 'Lockbox']",https://www.airbnb.com.sg/rooms/40096847?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3uXJtnZQAY--gEn&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Townhouse,Bang Rak,13.72717,100.52577,$113,$718,2,2,2,False,1465,4.77,92,4.64,4.7,4.7,4.8,4.8,4.7,4.7,"['Hair dryer', 'Shampoo', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linen', 'Iron', 'HDTV with Netflix', 'Air conditioning', 'Smoke alarm', 'Fire extinguisher', 'Fast wifi – 93 Mbps', 'Fridge', 'Microwave', 'Dishes and cutlery', 'Freezer', 'Kettle', 'Coffee maker', 'Wine glasses', 'Kitchenette', 'Dining table', 'Launderette nearby', 'Patio or balcony', 'Luggage drop-off allowed', 'Long-term stays allowed', 'Cleaning available during stay', 'Host greets you']",https://www.airbnb.com.sg/rooms/36706005?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3i74TfSaMztB40x&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
Entire home,Boutique hotel,Khet Pathum Wan,13.73538,100.53833,$62,$370,0,3,1,True,56,4.8,16,4.94,0,0,0,0,0,0,"['Shampoo', 'Washing machine', 'Dryer', 'Essentials', 'Hangers', 'TV', 'Air conditioning', 'Wifi', 'Kitchen', 'Private entrance', 'Private living room']",https://www.airbnb.com.sg/rooms/44579054?adults=3&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-10&source_impression_id=p3_1723541603_P3ypWUrzYW4Wc0k5&previous_page_section_name=1000&federated_search_id=08117c7d-1ca6-4222-a8f3-41443920216d
